"timestamp";"dayofyear";"minuteofday";"t_bern_0";"t_bern_30";"t_bern_60";"t_bern_90";"t_bern_120";"t_thun_0"
01/05/19 00:00;121;0;9.701;9.546;9.385;9.235;9.105;9.11
01/05/19 00:10;121;10;9.651;9.493;9.334;9.189;9.072;9.08
01/05/19 00:20;121;20;9.6;9.44;9.282;9.146;9.045;9.04
01/05/19 00:30;121;30;9.546;9.385;9.235;9.105;9.022;9
01/05/19 00:40;121;40;9.493;9.334;9.189;9.072;9.008;8.97
01/05/19 00:50;121;50;9.44;9.282;9.146;9.045;9;8.94
01/05/19 01:00;121;60;9.385;9.235;9.105;9.022;8.991;8.9
01/05/19 01:10;121;70;9.334;9.189;9.072;9.008;8.985;8.87
01/05/19 01:20;121;80;9.282;9.146;9.045;9;8.98;8.84
01/05/19 01:30;121;90;9.235;9.105;9.022;8.991;8.97;8.82
01/05/19 01:40;121;100;9.189;9.072;9.008;8.985;8.958;8.8
01/05/19 01:50;121;110;9.146;9.045;9;8.98;8.945;8.77
01/05/19 02:00;121;120;9.105;9.022;8.991;8.97;8.925;8.75
01/05/19 02:10;121;130;9.072;9.008;8.985;8.958;8.904;8.73
01/05/19 02:20;121;140;9.045;9;8.98;8.945;8.883;8.7
01/05/19 02:30;121;150;9.022;8.991;8.97;8.925;8.858;8.68
01/05/19 02:40;121;160;9.008;8.985;8.958;8.904;8.829;8.66
01/05/19 02:50;121;170;9;8.98;8.945;8.883;8.797;8.64
01/05/19 03:00;121;180;8.991;8.97;8.925;8.858;8.765;8.63
01/05/19 03:10;121;190;8.985;8.958;8.904;8.829;8.732;8.61
01/05/19 03:20;121;200;8.98;8.945;8.883;8.797;8.695;8.61
01/05/19 03:30;121;210;8.97;8.925;8.858;8.765;8.658;8.6
01/05/19 03:40;121;220;8.958;8.904;8.829;8.732;8.621;8.59
01/05/19 03:50;121;230;8.945;8.883;8.797;8.695;8.585;8.58
01/05/19 04:00;121;240;8.925;8.858;8.765;8.658;8.55;8.58
01/05/19 04:10;121;250;8.904;8.829;8.732;8.621;8.514;8.57
01/05/19 04:20;121;260;8.883;8.797;8.695;8.585;8.481;8.57
01/05/19 04:30;121;270;8.858;8.765;8.658;8.55;8.452;8.57
01/05/19 04:40;121;280;8.829;8.732;8.621;8.514;8.419;8.57
01/05/19 04:50;121;290;8.797;8.695;8.585;8.481;8.39;8.56
01/05/19 05:00;121;300;8.765;8.658;8.55;8.452;8.364;8.56
01/05/19 05:10;121;310;8.732;8.621;8.514;8.419;8.337;8.56
01/05/19 05:20;121;320;8.695;8.585;8.481;8.39;8.314;8.56
01/05/19 05:30;121;330;8.658;8.55;8.452;8.364;8.295;8.57
01/05/19 05:40;121;340;8.621;8.514;8.419;8.337;8.279;8.57
01/05/19 05:50;121;350;8.585;8.481;8.39;8.314;8.268;8.57
01/05/19 06:00;121;360;8.55;8.452;8.364;8.295;8.259;8.58
01/05/19 06:10;121;370;8.514;8.419;8.337;8.279;8.251;8.57
01/05/19 06:20;121;380;8.481;8.39;8.314;8.268;8.25;8.57
